track_name,artists,energy,valence
Gecenin Içine Gir,"UZI, Mavi",0.705,0.165
isteyerek sevişmek,Motive,0.698,0.219
Paro,Nej,0.605,0.419
h4rdjump_1988 - Super Slowed,$werve,0.992,0.216
Skins - Ultra Slowed + Reverb,"KREZUS, Surreal_dvd",0.853,0.343
Don't Stop The Music,Rihanna,0.669,0.547
Why Do We Fall?,Hans Zimmer,0.419,0.0349
Yüce Aşk,Motive,0.689,0.326
DOMDOM,"Era7capone, Organize",0.609,0.525
Ara Beni Lütfen,Kenan Doğulu,0.684,0.63
Aşk Ne Demek,Yalın,0.815,0.641
не расслабляйся,Skryptonite,0.584,0.0569
BANA GAYRET,Motive,0.452,0.36
İkimizden Biri,Fatma Turgut,0.754,0.607
infinity (888) - feat. Joey Bada$$,"XXXTENTACION, Joey Bada$$",0.579,0.577
Çıt Çıt Çedene,Barış Manço,0.719,0.843
Riot,XXXTENTACION,0.542,0.151
VIP,"Olexesh, Hell Yes, Ezhel",0.711,0.496
Aç Kollarını,Cem Belevi,0.876,0.905
MEET YOUR PADRE,"PARTYNEXTDOOR, Drake, Chino Pacas",0.596,0.72
Se Voce Nao Quer Passa a Vez,"Mc Delux, DJ Guih Da ZO",0.827,0.614
GOD'S COUNTRY,Travis Scott,0.65,0.138
Beatcoin,Ceza,0.786,0.494
RXCKSTAR,DEHA INC.,0.662,0.464
Vidrado em Você - Slowed,"Dj Guuga, Mc Livinho",0.883,0.388
Vidrado Em Você,"Dj Guuga, Mc Livinho",0.925,0.589
PASİF GELİR (400mg),"DEHA INC., SWIRF",0.579,0.527
ASTRO,"Slowboy, IVOXYGEN, zaichkou888",0.832,0.4
KILLA INTRO,"AKDO, Lvbel C5",0.57,0.235
Anatomy - Slowed,TEENWXVE,0.886,0.103
CRYING IN CHANEL,Drake,0.411,0.119
NOKIA,Drake,0.727,0.508
Grr-Paow,13 Killoki,0.801,0.307
PİŞMAN,"cakal, Reckol",0.515,0.309
