track_name,artists,track_genre,energy,valence
Soft Skin,Timmies;Shiloh Dynasty,chill,0.108,0.716
Crush On You,Finding Hope,chill,0.288,0.289
Silence,Weston Estate,chill,0.477,0.181
Y U Gotta B Like That,Audrey Mika,chill,0.413,0.761
Hopeless Romantic,Yusei,chill,0.49,0.352
Falls (feat. Sasha Alex Sloan),ODESZA;Sasha Alex Sloan,chill,0.697,0.183
I Should've Told You,Fiji Blue,chill,0.66,0.456
Mona Lisa,Valntn;Peter Fenn;Tray Haggerty,chill,0.59,0.787
Space Makes Me Sad,Fiji Blue,chill,0.429,0.596
Flower,Johnny Stimson,chill,0.361,0.5
At My Worst (Nikhita Gandhi Remix),Pink Sweat$;Nikhita Gandhi,chill,0.415,0.566
War With Heaven,keshi,chill,0.671,0.572
Forget About You,Devin Kennedy,chill,0.525,0.207
what's wrong with me?,dhruv,chill,0.405,0.176
summer,keshi,chill,0.453,0.483
B.Y.S.,keshi,chill,0.653,0.355
I'll Keep You Safe,Sarah Meow;Shiloh,chill,0.206,0.389
Trust Nobody,Elijah Gonzales;Shiloh Dynasty,chill,0.191,0.784
Strawberry Huracan,MASN,chill,0.709,0.566
Champagne Shots,Sainte,chill,0.441,0.925
pouring outside,dyl dion,chill,0.589,0.326
fell in love in tokyo,Yusei,chill,0.413,0.438
how to live,yaeow;Powfu;Sarcastic Sounds,chill,0.311,0.194
Smile,Johnny Stimson,chill,0.323,0.435
slow summer,Zachary Knowles,chill,0.431,0.464
lemme land?,Canking;Ess2Mad,chill,0.593,0.466
Sing for Me,Kochetkovv,chill,0.073,0.151
I Don't Sleep,Sarcastic Sounds,chill,0.352,0.258
Come Right Here,Kochetkovv,chill,0.393,0.35
the day i died,the bootleg boy;Rxseboy;Powfu,chill,0.443,0.198
Eenie Meenie,fenekot,chill,0.449,0.289
a place to call home,NÜ;Nvr/Mnd,chill,0.259,0.25
PIGEONS,Yxngxr1,chill,0.54,0.476
MOVIE,JUNNY,chill,0.557,0.595
Forever Right Now,Conor Matthews,chill,0.679,0.688
I Still Do,Mokita,chill,0.489,0.393
Tell Me Why I'm Waiting,creamy,chill,0.207,0.199
Let Me Know,Jimmy Brown,chill,0.39,0.536
You'll Be Alright,Milky Day;frad;Hayne,chill,0.461,0.592
mr. nice guy,KAYDEN,chill,0.657,0.619
Rather Do,Yxngxr1,chill,0.545,0.722
Eternal,Jenevieve,chill,0.717,0.233
Montara,Pandrezz;j'san;Epektase,chill,0.195,0.149
Mystic Brew,Pandrezz;j'san;Epektase,chill,0.162,0.434
Remember Me,UMI,chill,0.344,0.526
Cherry Wine,grentperez,chill,0.563,0.577
Love Affair,UMI,chill,0.488,0.183
mon amour,GEMINI,chill,0.805,0.692
Butterflies,ASTN,chill,0.359,0.432
Why You,Sway Bleu,chill,0.53,0.209
Love Again,itssvd;Shiloh Dynasty,chill,0.417,0.355
Baby Powder,Jenevieve,chill,0.452,0.732
With U,SwuM;Idealism,chill,0.309,0.185
move,brb.,chill,0.633,0.782
[oops],potsu,chill,0.256,0.655
Sitting In Fire,MASN,chill,0.625,0.293
my new love,Elijah Who,chill,0.277,0.236
"she likes spring, I prefer winter",slchld,chill,0.661,0.487
Seams,INTRN,chill,0.294,0.468
Reckless,Lund,chill,0.467,0.167
honeymoon,brb.,chill,0.639,0.869
juice,brb.,chill,0.576,0.847
i'm lost,Sarah Kang;Nieman,chill,0.496,0.368
i don't wanna let u go,yaeow,chill,0.285,0.258
Close to Me,Laica,chill,0.489,0.163
viola,eevee,chill,0.114,0.191
Latest Trends,A1 x J1,chill,0.513,0.8
my girl,Shiloh Dynasty;Shiloh Beat,chill,0.409,0.0702
Don't Talk,MASN,chill,0.709,0.456
Father Forgive Me,Shiloh Dynasty;Unclenathannn,chill,0.244,0.343
F My Ex,KAVO,chill,0.435,0.717
universe,thuy,chill,0.452,0.0678
us,keshi,chill,0.282,0.296
Peter Pan (feat. Liilz),Prinz;Liilz,chill,0.487,0.479
figured u out,thuy,chill,0.446,0.642
Can We Kiss Forever?,Holem;Shiloh Dynasty,chill,0.188,0.284
get you the moon,Yusei,chill,0.23,0.388
overthinking,demxntia,chill,0.574,0.161
Trampoline - Acoustic,Highland Peak,chill,0.2,0.308
Blank Canvas,BluntOne;Baen Mow;Phlocalyst,chill,0.156,0.233
Soft Skin,Sarah Meow,chill,0.246,0.457
alright,keshi,chill,0.474,0.392
I Watched Her Leave,Alrahim Wright III,chill,0.46,0.434
Flying :)),Tom Odell,chill,0.148,0.299
"I Love You, That's the Problem",Kochetkovv,chill,0.498,0.351
Tell Me Why I'm Waiting,boy in skirt;Niisan,chill,0.155,0.214
Disappointment (feat. Rxseboy),Sarcastic Sounds;Rxseboy,chill,0.821,0.823
Why you gotta lie?,K1,chill,0.627,0.697
about time,Sarah Kang;Takahiro Izumikawa,chill,0.421,0.59
Can't Pretend,Tom Odell,chill,0.473,0.286
Losing It - Slowed and Reverb,ZRobb;Shiloh Dynasty,chill,0.236,0.402
"No I Don't Want, Just Anyone",Shiloh Dynasty;Unclenathannn,chill,0.373,0.325
Take Me,Miso,chill,0.426,0.355
October Eyes,Alt Bloom,chill,0.52,0.698
Over 85,Hojean,chill,0.522,0.477
Daydreaming,Marc Wavy,chill,0.387,0.839
GET IT,keshi,chill,0.71,0.313
LIMBO,keshi,chill,0.366,0.0841
I’ll Keep You Safe,Shiloh Dynasty;Vluestar,chill,0.336,0.267
blue,the bootleg boy;artemis orion,chill,0.314,0.335
She Wonders Why,Astrus*,chill,0.288,0.42
Better Days,LAKEY INSPIRED,chill,0.403,0.513
Alive,Audrey Mika,chill,0.335,0.293
stable life,dhruv,chill,0.446,0.311
Strawberries and Wine - Acoustic,Jaylon Ashaun,chill,0.26,0.627
More & More,Finding Hope,chill,0.256,0.547
Give Me Love,Rewind;swablu;artemis orion,chill,0.344,0.108
Float Through The Ceiling,DWLLRS,chill,0.696,0.407
so good,joan,chill,0.648,0.72
nostalgia,JUNNY;JAY B,chill,0.758,0.457
always,keshi,chill,0.495,0.548
I met you at the station,Addict.;Rewind,chill,0.2,0.116
"tonight, pt. II",demxntia,chill,0.67,0.526
Talking Stage,JBee,chill,0.454,0.76
Crystal Dolphin,Engelwood,chill,0.776,0.247
You and Me,Addict.;Federico Martelli;Byjoelmichael,chill,0.364,0.159
Sunrise,Faime,chill,0.398,0.579
m i s t,eevee,chill,0.229,0.395
closer,Hinshi;Ondi Vil,chill,0.121,0.173
False Art,Ben Kessler;Lizzy McAlpine,chill,0.402,0.267
the reaper,keshi,chill,0.501,0.277
ANGEL,keshi,chill,0.244,0.167
I Like That,Adam Turley,chill,0.458,0.516
astroboy.,suggi,chill,0.503,0.556
Floor Seats (Text Back),Moxas,chill,0.453,0.178
We're Finally Landing,Home,chill,0.546,0.072
More Than Friends,Mokita,chill,0.415,0.609
You Promised Not to Break My Heart,boy in skirt;dhan,chill,0.046,0.188
please hold me,Julia Alexa,chill,0.263,0.0451
Eye Of The Storm,Sebastian Kamae;Mindr,chill,0.191,0.113
That Way (Slowed + Reverb),fenekot,chill,0.359,0.463
Shou Ga Nai,Raimu,chill,0.308,0.122
someone who'll care,luca.;Walmoods,chill,0.299,0.147
When the Party's over (Acoustic Piano),Ben Woodward,chill,0.226,0.188
stranger to me,Zachary Knowles,chill,0.469,0.7
Introvert,Tenno,chill,0.307,0.182
You're Still The One,Bailey Jehl,chill,0.473,0.54
Down,Hashir,chill,0.521,0.273
Would That Make You Love Me?,SHRK;Shiloh Dynasty,chill,0.391,0.629
Honest,rei brown,chill,0.44,0.429
Butterflies,Fiji Blue,chill,0.526,0.786
Situationship,Nbdy,chill,0.508,0.372
Meet Me in Amsterdam,RINI,chill,0.265,0.169
HELL/HEAVEN,keshi,chill,0.417,0.204
Soleil,80purppp,chill,0.483,0.464
Mi Amor,Vluestar;Shiloh Dynasty,chill,0.204,0.335
The Trip,Still Corners,chill,0.736,0.42
this girl,Elijah Who,chill,0.133,0.422
On Me,Sainte,chill,0.426,0.296
January,Verzache,chill,0.246,0.18
my bad,Moxas,chill,0.351,0.758
Imagination,Shiloh Dynasty;Timmies,chill,0.171,0.242
FELT,Nate Traveller,chill,0.559,0.62
Strings,iyla,chill,0.558,0.7
wish u the best,Kayou.;Kaxi,chill,0.301,0.272
"dear me,",Gentle Bones,chill,0.459,0.435
Crush,MASN,chill,0.836,0.542
trippin',thuy,chill,0.429,0.239
Monday Loop,Tomppabeats,chill,0.384,0.354
bandaids,keshi,chill,0.294,0.311
The Calm Place,Zmeyev;Screen Jazzmaster;DreamBetter,chill,0.201,0.32
Call Me,Rainlord.;keshi,chill,0.317,0.29
$tars and I feel alone,Vluestar,chill,0.214,0.56
Insomnia (Feat. YAYYOUNG),Dvwn;Yayyoung,chill,0.601,0.374
wake me when it's over,Vorsa,chill,0.449,0.247
in my bag,thuy,chill,0.634,0.662
I'm Just a Ghost,yaeow,chill,0.238,0.249
Try to Be Better (Again),Rnla;yaeow,chill,0.358,0.129
Are you even real,LRN Slime,chill,0.287,0.244
Forgive Me (feat. Izzy Bizu),ODESZA;Izzy Bizu,chill,0.827,0.395
self destructive,Vorsa,chill,0.495,0.266
you won't be there for me,slchld,chill,0.308,0.634
Thank You,JUNNY,chill,0.473,0.189
Tiptoeing,Hope Tala,chill,0.8,0.632
11:23,mj apanay,chill,0.256,0.585
Adeus,Pep Starling,chill,0.824,0.581
eyes blue like the atlantic,IWL;bearbare,chill,0.446,0.154
never fall in love with strangers,marcos g,chill,0.668,0.69
The Simple Things,Michael Carreon,chill,0.491,0.681
I Am So Sad... I am So Very Very Sad,Alrahim Wright III,chill,0.448,0.167
Fall for You,Sarah Kang;Jesse Barrera,chill,0.462,0.501
i tried everything (feat. Kailee Morgue & Zaini),Foster;Zaini;Kailee Morgue,chill,0.593,0.713
Clearest of Signs,SwitchOTR,chill,0.606,0.681
Believer (Remix),Ben Woodward,chill,0.724,0.333
Never the Right Time,Janine,chill,0.308,0.146
Thinking Bout You,rei brown;Joji,chill,0.711,0.509
Gradually,ASTN,chill,0.403,0.549
Easy,Mac Ayres,chill,0.282,0.217
You Feel Like,Hojean,chill,0.492,0.184
LA DON’T LOOK GOOD ON U,ASTN,chill,0.387,0.628
F.O.E,Nbdy,chill,0.597,0.326
Too Good,Christian Kuria,chill,0.406,0.507
Say My Name (feat. Zyra),ODESZA;Zyra,chill,0.745,0.347
3AM,Janine,chill,0.42,0.204
your love,brb.;Jimmy Brown,chill,0.568,0.785
Line Of Sight (feat. WYNNE & Mansionair),ODESZA;WYNNE;Mansionair,chill,0.733,0.173
to the moon & back,Finding Hope,chill,0.276,0.126
Lie 2 Me,Fern.,chill,0.425,0.227
in my head,thuy,chill,0.496,0.321
Wake Up,moow;Lotte Kestner,chill,0.107,0.622
for mah girl,LUUV.;Shiloh Dynasty,chill,0.26,0.175
Stiches,William Singe,chill,0.337,0.206
more,keshi,chill,0.707,0.401
Dream Away,DAY 7,chill,0.331,0.0581
Just Friends,Audrey Mika,chill,0.656,0.793
Dead and Cold,ELIJAH MOON;Sølace,chill,0.383,0.569
Down the Line,Beach Fossils,chill,0.743,0.528
You're in My Head,moow;Lotte Kestner,chill,0.197,0.324
Sunday Vibe,The BREED,chill,0.456,0.589
i'm lonely now,itssvd;Shiloh Dynasty,chill,0.111,0.332
2 Things,Jimmy Brown,chill,0.257,0.612
Horsepower - F.O.O.L & TOKYO ROSE Remix,MUZZ;F.O.O.L;TOKYO ROSE,chill,0.765,0.0395
thinking of you,mommy;Philanthrope;Kyle McEvoy,chill,0.0841,0.506
xoxosos,keshi,chill,0.401,0.257
Pink cheeks,Eldon,chill,0.498,0.701
03',Sainte,chill,0.617,0.709
the reason why,Addict.;Rnla,chill,0.255,0.1
Old Roots New Trees,Made in M;Smuv,chill,0.146,0.776
Don’t Lie (feat. Nemzzz),A1 x J1;Nemzzz,chill,0.757,0.961
Habits (Stay High),fenekot,chill,0.226,0.141
Love Drunk,Faime,chill,0.535,0.914
don't stay awake for too long,meynus,chill,0.215,0.444
Up All Night,Rewind;Julia Alexa,chill,0.256,0.318
Dil Mera,Panjabi Hit Squad;Rahat Fateh Ali Khan,chill,0.892,0.885
Psycho! (Remix) (feat. Trippie Redd),MASN;Trippie Redd,chill,0.409,0.565
Shortcut To Heaven,lullaboy,chill,0.505,0.565
Follow Through,Devin Kennedy,chill,0.51,0.622
Pure Imagination (feat. Shiloh Dynasty),Shiloh Dynasty;Unclenathannn,chill,0.0307,0.307
time machine,mj apanay;aren park,chill,0.256,0.408
once in a moon,Sarah Kang,chill,0.278,0.31
Brookline,Finlep,chill,0.11,0.13
