track_name,artists,track_genre,energy,valence
Long Way Down,Joshua Hyslop,acoustic,0.231,0.186
She Is Love,Parachute,acoustic,0.174,0.305
Marigold,Phillip LaRue,acoustic,0.406,0.541
12:51,krissy & ericka,acoustic,0.357,0.438
サンサーラ,Takehara Pistol,acoustic,0.183,0.219
Sons and Daughters,Allman Brown;Liz Lawrence,acoustic,0.461,0.202
Brand New,Ben Rector,acoustic,0.934,0.422
Gotta Have You,The Weepies;Deb Talan;Steve Tannen,acoustic,0.363,0.543
"30,000 Feet",Ben Rector,acoustic,0.452,0.321
A Thousand Years,Eddy Tyler,acoustic,0.396,0.16
Jolene,Ray LaMontagne,acoustic,0.142,0.288
No Ceiling,Eddie Vedder,acoustic,0.652,0.75
Front Porch,Joy Williams,acoustic,0.224,0.2
Goodbye Lulu,Days N Daze,acoustic,0.839,0.967
Three More Days,Ray LaMontagne,acoustic,0.68,0.903
Isn't She Lovely - Acoustic,Callum J Wright,acoustic,0.306,0.424
We Could Still Be Happy,Rachael Yamagata,acoustic,0.317,0.177
Fix You - Acoustic,John Adams,acoustic,0.152,0.304
I'm Yours - Acoustic,Lusaint,acoustic,0.267,0.391
Closer,Boyce Avenue;Sarah Hyland,acoustic,0.471,0.466
A Sky Full of Stars,Mother's Daughter;Beck Pete,acoustic,0.11,0.152
I Don't Believe in Satan,Aron Wright,acoustic,0.41,0.354
Pills,The Perishers,acoustic,0.288,0.293
Shallow - Acoustic,Tyler Ward;Madysyn,acoustic,0.282,0.234
Watermelon Sugar - Acoustic,Jonah Baker,acoustic,0.121,0.461
Say You Won't Let Go - Acoustic,Matt Johnson;Jaclyn Davies,acoustic,0.197,0.348
Hikare Inochi,Kitri,acoustic,0.769,0.385
Call You Mine (Acoustic Piano),Ben Woodward,acoustic,0.297,0.766
For Now,Kina Grannis,acoustic,0.249,0.329
Sweet Dream,Greg Laswell,acoustic,0.234,0.19
Love Nwantiti,Andrew Foy,acoustic,0.158,0.498
Stars Are on Your Side,Ross Copperman,acoustic,0.625,0.191
We Don't Talk Anymore / Cold (feat. Sara Phillips),Jonah Baker;Sara Phillips,acoustic,0.328,0.599
Superman,Joe Brooks,acoustic,0.653,0.416
Chasing Cars,Boyce Avenue,acoustic,0.331,0.0877
Calm Me Down,Zack Tabudlo,acoustic,0.49,0.437
KISSして,Masaharu Fukuyama,acoustic,0.851,0.644
Binibini (Last Day On Earth) (feat. James TW),Zack Tabudlo;James TW,acoustic,0.391,0.101
Left for America,Ciaran Lavery,acoustic,0.384,0.25
Ramparts,John Frusciante,acoustic,0.428,0.73
Hold On - Acoustic,Chord Overstreet,acoustic,0.259,0.246
Dust to Dust,The Civil Wars,acoustic,0.265,0.2
Good night,Masaharu Fukuyama,acoustic,0.498,0.221
As You Are,Zack Tabudlo,acoustic,0.438,0.447
Binibini,Zack Tabudlo,acoustic,0.374,0.0979
It Aint Me,Sara Farell,acoustic,0.415,0.421
Say Something,A Great Big World,acoustic,0.158,0.142
The Lotto,Ingrid Michaelson;AJR,acoustic,0.748,0.872
Tamacun,Rodrigo y Gabriela,acoustic,0.914,0.971
Make It Without You,Andrew Belle,acoustic,0.205,0.161
Dream,Priscilla Ahn,acoustic,0.248,0.158
"Big Love, Small Moments",JJ Heller,acoustic,0.282,0.278
I Am Not Alone,Priscilla Ahn,acoustic,0.18,0.228
Stand Your Ground,Joshua Hyslop,acoustic,0.271,0.686
Perfect Man,Front Porch Step,acoustic,0.704,0.338
あ。っという間はあるさ,Takehara Pistol,acoustic,0.895,0.94
Tell The World,Eric Hutchinson,acoustic,0.854,0.706
Ain't No Reason,Brett Dennen,acoustic,0.358,0.432
A Month from Now,Rail Yard Ghosts,acoustic,0.619,0.739
What If,Five For Fighting,acoustic,0.895,0.592
Pussy Cat,The Bridge City Sinners,acoustic,0.702,0.644
Polaroid Picture,Frank Turner,acoustic,0.604,0.341
I Bet On Flying High,Matt Costa,acoustic,0.359,0.346
I Bet On Flying High,Matt Costa,acoustic,0.359,0.346
I Bet On Flying High,Matt Costa,acoustic,0.359,0.346
Mirrors - Acoustic,Jonah Baker,acoustic,0.287,0.445
To the Wonder (feat. Kina Grannis),Aqualung;Kina Grannis,acoustic,0.46,0.259
Stay - Acoustic,Jonah Baker,acoustic,0.221,0.297
太陽さん,Ichiko Aoba,acoustic,0.0353,0.362
Oh What A Love,Kina Grannis,acoustic,0.064,0.0647
Leave The Lights On,Meiko,acoustic,0.821,0.661
I Won't Let You Down,Erin McCarley,acoustic,0.329,0.0919
Look For The Good (Single Version),Jason Mraz,acoustic,0.615,0.746
Stargazing,Isabella Celander,acoustic,0.204,0.525
Bad Liar,Roses & Frey,acoustic,0.195,0.176
Is It You,Rachael Yamagata,acoustic,0.743,0.445
Slow Down Time,Us The Duo,acoustic,0.657,0.433
2002 - Acoustic,Amber Leigh Irish,acoustic,0.296,0.611
Sweeter,Jess Penner,acoustic,0.377,0.551
